Year,State ANSI,Ag District Code,County,County ANSI,Value
2020,18,50,BARTHOLOMEW,5,187.5
2020,18,50,BOONE,11,221.9
2020,18,50,CLINTON,23,207.1
2020,18,50,DECATUR,31,209.5
2020,18,50,GRANT,53,187.8
2020,18,50,HAMILTON,57,188.7
2020,18,50,HANCOCK,59,188.5
2020,18,50,HENDRICKS,63,205.2
2020,18,50,HOWARD,67,213.1
2020,18,50,JOHNSON,81,184.2
2020,18,50,MADISON,95,204.7
2020,18,50,MARION,97,191.9
2020,18,50,MORGAN,109,188
2020,18,50,RUSH,139,201.9
2020,18,50,SHELBY,145,191
2020,18,50,TIPTON,159,216.7
2020,18,60,BLACKFORD,9,187.9
2020,18,60,DELAWARE,35,192
2020,18,60,FAYETTE,41,191.5
2020,18,60,HENRY,65,196.6
2020,18,60,JAY,75,179.9
2020,18,60,RANDOLPH,135,183.9
2020,18,60,UNION,161,208.9
2020,18,60,WAYNE,177,186.6
2020,18,20,CARROLL,15,209.6
2020,18,20,CASS,17,200.4
2020,18,20,ELKHART,39,174.8
2020,18,20,FULTON,49,181
2020,18,20,KOSCIUSKO,85,172.9
2020,18,20,MARSHALL,99,175.5
2020,18,20,MIAMI,103,180.8
2020,18,20,ST. JOSEPH,141,167.7
2020,18,20,WABASH,169,174.2
2020,18,30,ADAMS,1,179.9
2020,18,30,ALLEN,3,165.2
2020,18,30,DE KALB,33,136.6
2020,18,30,HUNTINGTON,69,186.1
2020,18,30,LAGRANGE,87,143.5
2020,18,30,NOBLE,113,175.3
2020,18,30,STEUBEN,151,145.6
2020,18,30,WELLS,179,188.5
2020,18,30,WHITLEY,183,159.6
2020,18,10,BENTON,7,204.5
2020,18,10,JASPER,73,172.3
2020,18,10,LA PORTE,91,147.8
2020,18,10,LAKE,89,171.3
2020,18,10,NEWTON,111,192.9
2020,18,10,PORTER,127,182.2
2020,18,10,PULASKI,131,172.7
2020,18,10,STARKE,149,156.8
2020,18,10,WHITE,181,178.5
2020,18,80,FLOYD,43,171.2
2020,18,80,HARRISON,61,182
2020,18,80,JACKSON,71,185.4
2020,18,80,LAWRENCE,93,183.4
2020,18,80,MONROE,105,168.2
2020,18,80,ORANGE,117,205.3
2020,18,80,PERRY,123,179.7
2020,18,80,WASHINGTON,175,172.9
2020,18,90,CLARK,19,173.4
2020,18,90,DEARBORN,29,173.2
2020,18,90,FRANKLIN,47,184.9
2020,18,90,JEFFERSON,77,165
2020,18,90,JENNINGS,79,177.1
2020,18,90,OHIO,115,154.3
2020,18,90,RIPLEY,137,178.4
2020,18,90,SWITZERLAND,155,182.2
2020,18,70,DAVIESS,27,192.4
